what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1314073331286
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1314073331286
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1314073331286
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1314073331301
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1314073331301
started,bundle,org.eclipse.wst.xml.core,1.1.504.v201104070043,"org.eclipse.wst.xml.core",1314073331301
started,bundle,org.springframework.ide.eclipse.aop.core,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.aop.core",1314073331301
started,bundle,org.springframework.ide.eclipse.aop.ui,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.aop.ui",1314073331301
started,bundle,org.springframework.ide.eclipse.beans.core,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.beans.core",1314073331301
started,bundle,org.springframework.ide.eclipse.beans.ui,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.beans.ui",1314073331301
started,bundle,org.springframework.ide.eclipse.core,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.core",1314073331301
started,bundle,org.springframework.ide.eclipse.ui,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.ui",1314073331301
os,sysinfo,,,"win32",1314073331301
arch,sysinfo,,,"x86",1314073331301
ws,sysinfo,,,"win32",1314073331301
locale,sysinfo,,,"hi_IN",1314073331301
processors,sysinfo,,,"2",1314073331301
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1314073331301
java.runtime.version,sysinfo,,,"1.6.0_06-b02",1314073331301
java.specification.name,sysinfo,,,"Java Platform API Specification",1314073331301
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314073331301
java.specification.version,sysinfo,,,"1.6",1314073331301
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1314073331301
java.version,sysinfo,,,"1.6.0_06",1314073331301
java.vm.info,sysinfo,,,"mixed mode",1314073331301
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1314073331301
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1314073331301
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314073331301
java.vm.specification.version,sysinfo,,,"1.0",1314073331301
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1314073331301
java.vm.version,sysinfo,,,"10.0-b22",1314073331301
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1314073332581
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314073333595
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314073349631
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314073360041
started,bundle,org.springframework.ide.eclipse.webflow.ui,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.webflow.ui",1314073370197
started,bundle,org.eclipse.wst.sse.core,1.1.505.v201104070043,"org.eclipse.wst.sse.core",1314073370244
started,bundle,org.springframework.ide.eclipse.webflow.core,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.webflow.core",1314073370275
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1314073370306
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314073371929
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1314073372085
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1314073372085
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1314073376858
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1314073376858
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1314073377248
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314073381429
