what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481552617
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1313481560869
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481563069
opened,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1313481609838
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1313481609884
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1313481615282
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1313481615282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481663876
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481668322
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481668353
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481669679
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481669710
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481670584
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481691176
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481693345
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1313481693360
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481810142
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481812669
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1313481812669
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1313481812685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481874040
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481928858
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481933819
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481948015
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481974145
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1313481976220
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1313481976235
