what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui",1314245495987
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1314245496611
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1314245496720
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245497048
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245499528
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1314245541211
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245554019
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245577950
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245587060
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245597496
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245597886
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245600726
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1314245606686
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245610679
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245613675
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245632597
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245635686
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1314245667994
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245677650
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245681223
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245704529
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245707805
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1314245707821
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.gotoLastEditPosition",1314245717758
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.navigate.backwardHistory",1314245719926
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1314245734138
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245734169
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245736150
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.navigate.forwardHistory",1314245741064
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.DebugLast",1314245793075
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245793106
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1314245795665
